Feature,Mean,Std,Min,Max,25%,50%,75%,Skewness,Kurtosis
Ch0_Mean,-0.0003426055875736093,0.008936461113917119,-0.033214305620108533,0.03654721908612979,-0.003560151399145419,-0.00022864626953202722,0.003964629648983318,-0.12420729611561948,2.4338993365837895
Ch0_Std,0.6201390481537928,0.22808506999927997,0.35000424558533005,0.9376325102435455,0.3598615419485973,0.5986417030418245,0.8929390746475586,0.12545105697705203,-1.5666106620019244
Ch0_Min,-1.3996343700314615,0.4540717559794073,-2.402717793184065,-0.7820671653275539,-1.8447290764268813,-1.4127757776707843,-0.8748325072216523,-0.03872792891836139,-1.3668097897410747
Ch0_Max,1.3875524774859165,0.438676896966572,0.7870485256527311,2.2499385460258043,0.8777477827346406,1.4177100665872426,1.8106885444522087,-0.02030062033743873,-1.4101540127773502
Ch0_Skew,0.0005968856716237144,0.03678647591828026,-0.09681387380187294,0.10869702670346588,-0.024352495389184565,-0.004592544759940236,0.02551902843441671,0.21238297051043672,-0.20226322918629736
Ch0_Kurt,-0.564391204980342,0.4637838970487269,-1.303908299315901,-0.018503814486983128,-1.1511224893820078,-0.3489604387837679,-0.16415973327712807,-0.5215046822042417,-1.565658739912288
Ch1_Mean,7.054951609844549e-05,0.010184527179663285,-0.0459265985952546,0.036898320140574786,-0.0045159313893095455,-4.8850592245848305e-05,0.00482011709301348,0.027383938664419398,2.8419669497090467
Ch1_Std,0.6215929878914045,0.22695709959452753,0.34936376599133784,0.9376648974191906,0.36360442476848376,0.599499111502805,0.8944348366818928,0.1285505145983084,-1.5659779099038103
Ch1_Min,-1.4189394168708804,0.4469692744705518,-2.234533618247625,-0.756672966690455,-1.8643366928818377,-1.4286289175771498,-0.9087357878338185,-0.009563379412984954,-1.4115262338948078
Ch1_Max,1.4057546511621328,0.44079727481047853,0.7817954876493001,2.379872737521937,0.9087729900817989,1.4319443126848987,1.8225969545898737,0.03468304279999815,-1.364722427795359
Ch1_Skew,-0.002708210946093138,0.040071137549876686,-0.11565546789169047,0.134688855138441,-0.030183974868910765,-0.004295336805949658,0.023840076104819086,0.18546737158734325,0.14091146278821576
Ch1_Kurt,-0.5631355623895676,0.45944042671573254,-1.2866210166797376,0.04455448454228916,-1.1464916830529361,-0.3443562272622036,-0.17686201376937483,-0.5010530834848888,-1.5507491561291917
Ch2_Mean,0.0006697642063496533,0.009025440973852659,-0.02357251507528394,0.03209619295289239,-0.005184465941368049,0.0006153537330416744,0.005928427937023455,0.3073237743833586,0.6650329689297401
Ch2_Std,0.6284191323051109,0.22485460175066155,0.3597559672634196,0.9430301076147826,0.3726959402751467,0.6055083887534238,0.8960465982044792,0.13217007109756926,-1.5638224305605868
Ch2_Min,-1.4585669613606906,0.41881797790325703,-2.2868175284351517,-0.8603469471038564,-1.8576218129402318,-1.4795599079209913,-0.9846965296146202,-0.03618074252296281,-1.3648054787243593
Ch2_Max,1.457790582672768,0.42530308404293854,0.8165550569741536,2.358827858355162,0.9908981036806115,1.462566253827268,1.8640839493672454,0.06800444879706878,-1.341595412884508
Ch2_Skew,-0.00562383512563043,0.04429637367292372,-0.158937002600136,0.09869807490503471,-0.0337159301975486,-0.002059227780211862,0.024976606496250234,-0.34004004331896026,0.06637270901842385
Ch2_Kurt,-0.5499956812486853,0.4586659845038997,-1.2692826906441412,0.027254245812515343,-1.1304311953424526,-0.337210170540867,-0.1656701729274207,-0.49868589064233887,-1.5512658181278065
Ch3_Mean,-0.00022260531190419587,0.01049129296419313,-0.043710878096272957,0.023716414096427378,-0.006177321177014824,-0.0001776421743019559,0.006596260094080488,-0.5282404605633916,1.4681337293763201
Ch3_Std,0.6383881123147781,0.22070525830138724,0.3716723951847462,0.9444980896297613,0.38923249319185793,0.6150311033473936,0.9010823773331341,0.13686715936751448,-1.5618236678487827
Ch3_Min,-1.532317604538374,0.40300435046947103,-2.519207238264365,-0.8712062653242355,-1.868765156722294,-1.5632511412041543,-1.089812304227334,-0.030642235363306486,-1.1748664987106336
Ch3_Max,1.5227577481250831,0.4095298646122786,0.9041162765834734,2.5289652358202335,1.068696403260367,1.5500454399460109,1.8933152882961417,0.013534949857688156,-1.2697076401276053
Ch3_Skew,-0.008711154525449544,0.05899048581313952,-0.2139050267687387,0.1564194761341285,-0.043024759680921794,-0.006353936524638289,0.031218349187997582,-0.3587867177044174,0.5402130438794339
Ch3_Kurt,-0.5207327957167497,0.4599772774620868,-1.264035978915265,0.25133249908088606,-1.092428268547312,-0.30934159616176515,-0.17439595614771886,-0.4427279440759331,-1.5148465785754623
Ch4_Mean,0.0012213289190121071,0.012740602798658377,-0.0315552056250485,0.05591306035157454,-0.006399654734986241,0.0007593423558269502,0.007701795626630922,0.22810484199177972,0.8473049381368023
Ch4_Std,0.6535355357230664,0.2162172481996359,0.3866083757205208,0.9609644228340226,0.4118229112969027,0.6294115156008939,0.9112740664256738,0.14727289043927705,-1.562160377652857
